seminar_id,region,Seminars
52af721e9f7637e9b21f5791aa909c1c,South,1
52befe268018459629ce75e76f109218,West,2
533043f39069007f76528ce6a2bec64e,South,1
53467f1f95dd022cd652a8eaffa8b25e,South,1
53467f1f95dd022cd652a8eaffa8b25e,West,1
53f084b81706f42f2e90780edf4984cf,South,1
54904bf01e97cd4812207db1400a6c65,South,1
54e6737dad649e3e8abeb8c3a0501a65,West,1
5521db6e7784f16a680177c54845ae26,West,1
554c1a61cb460668c40e9196f45d87f3,Northeast,3
554c1a61cb460668c40e9196f45d87f3,South,1
55a4d4ec784642d8acb4d7deb9cd7b1c,Midwest,1
55a4d4ec784642d8acb4d7deb9cd7b1c,Northeast,1
55a4d4ec784642d8acb4d7deb9cd7b1c,West,2
55ae6a9d3dd41ae83e299ff5a72b5451,Northeast,1
55ae6a9d3dd41ae83e299ff5a72b5451,West,1
55ae6a9d3dd41ae83e299ff5a72b5451,NA,2
55f02c62be92435a4456412b90758554,South,1
55f0a1e38a4d57a7e9e18ac67243ecf3,South,2
562cad596305104bd05dff7975f53031,NA,1
5637fd509a46137d89d63878105a3296,Midwest,1
5637fd509a46137d89d63878105a3296,Northeast,1
5637fd509a46137d89d63878105a3296,NA,1
56946345adda9e4ae0e000739138f6e5,Northeast,1
56946345adda9e4ae0e000739138f6e5,South,1
56946345adda9e4ae0e000739138f6e5,West,1
56946345adda9e4ae0e000739138f6e5,NA,1
56bf3983087902d2758adbf70fcfaee7,Midwest,1
56bf3983087902d2758adbf70fcfaee7,West,1
56d7238e1e6c88772da3ce0b727cc02b,Northeast,1
56ed514e1d4ea956d37d0d94d24aa574,West,3
56ed514e1d4ea956d37d0d94d24aa574,NA,1
571a1b31451d58d045e1b962dcf87d3a,Northeast,1
57247f64205b062106e4a0cdc54ef4ed,Northeast,1
57247f64205b062106e4a0cdc54ef4ed,South,1
57cbf7c361d911b862f7d0e459a75318,West,1
57f5274b70b06c6f283b228b7cfc3278,South,1
58de671d36e26f5ad4e52517292099da,West,1
5990386b678f2c9f33f370a396c88f52,Northeast,1
59a41a08df432c75e811150f42aa5d41,Northeast,2
5a53b6d83af5874bc7f40b63fd6189bd,South,1
5b02c9697649c0b48145796dbc4f21a9,Northeast,4
5b02c9697649c0b48145796dbc4f21a9,South,3
5b9dff4699d9333ae14723995f6d688b,South,1
5c7017fd1b21e6d84dc668c97e2c1873,West,1
5c9aa56cbbc6f969430b83389303b71d,West,1
5d64060224d152f071d9cede1c22f49b,Northeast,1
5e6d336d8248af1d254310bddd1d7585,South,2
5e9465d9be791345b771e69175bf0afa,West,6
5f8e679c245fe478d80f0a1360f187de,Northeast,1
5f8e679c245fe478d80f0a1360f187de,West,2
5f8e679c245fe478d80f0a1360f187de,NA,1
609d3adc9149d0c7a5eff76c3ff3f995,South,1
60a5a58cb310924346b8e52567638686,NA,1
60b6b76d38523ebe8693bf4a035021c3,Midwest,1
60b6b76d38523ebe8693bf4a035021c3,South,1
60b6b76d38523ebe8693bf4a035021c3,West,1
6128d36548903f48f0e89d62ca8f2a22,West,2
6128d36548903f48f0e89d62ca8f2a22,NA,1
61525d56ca8a1c3d8ce7a11c370d967e,Northeast,1
6180e5e913bddbc5566afbd3a8c31589,Northeast,1
61fb60d3f4b7d69b27cd708988d32474,South,1
621ffbf9dd873bf8f5edf8c954cf54a6,Midwest,1
